image_name,gt_idx,detection_count,max_distance,avg_iou
images/000e6159-3c8d-4574-bfcf-2f8ad079caf4.png,5,2,0.8881407860322166,0.7840660075296115
images/000e6159-3c8d-4574-bfcf-2f8ad079caf4.png,6,2,0.5364157969092331,0.890422201258351
images/005538bb-96c7-421f-bb0b-7c70d23e4390.png,5,2,0.28572372251704503,0.9358887583555768
images/005538bb-96c7-421f-bb0b-7c70d23e4390.png,15,2,13.434282900958424,0.8627508557230007
images/00daba43-cb0a-4f1d-8c3a-5173a5811ef6.png,0,2,0.8600115858019864,0.8761987321763436
images/0255f5a4-5dbe-44c9-a18d-7e5f4561d5ec.png,0,2,1.2512626321791906,0.7744962613592945
images/0255f5a4-5dbe-44c9-a18d-7e5f4561d5ec.png,16,2,9.502160502512838,0.7135386296389659
images/0569d9e5-e070-4390-8c25-30866a009a08.png,10,2,2.370910603285971,0.9103797586261135
images/0805de6a-c231-4392-98bf-5f784f6d3aca.png,2,2,17.380606361046574,0.6621622127670908
images/0971d853-878c-4fcc-80cf-54f199dbe438.png,4,2,29.787398894507994,0.7010266127848807
images/0a536d29-32a5-4476-ad1b-057bafc9f44b.png,5,2,3.00581057671886,0.9174150526648115
images/0a536d29-32a5-4476-ad1b-057bafc9f44b.png,12,2,0.19117041152036157,0.7166093813827614
images/0a536d29-32a5-4476-ad1b-057bafc9f44b.png,14,2,2.1987958108831998,0.9008168131053409
images/0d0c3669-41fb-46c9-ab60-da49ed63236b.png,0,2,4.370546234130275,0.8241795752604282
images/0dc8b3db-eefc-444a-8a75-46f5e629c6c7.png,0,2,0.320165796183112,0.7923677699017831
images/0f3eecba-2e4a-4436-8a49-11b45fdfbae1.png,0,3,42.72357608226855,0.7179589099176118
images/0f514ab0-2258-49b2-a598-2433b15ba30b.png,0,2,0.9615207410250101,0.8189734121402859
images/0f514ab0-2258-49b2-a598-2433b15ba30b.png,10,2,3.651494877769189,0.7965716362311425
images/0f514ab0-2258-49b2-a598-2433b15ba30b.png,12,2,0.3606806043654993,0.8670408147605616
images/0f7d2c59-52d3-4f57-a62c-ca7fd2510720.png,1,3,2.631557227789838,0.8548351994195614
images/104881ff-1dea-41f4-ac10-2564ee48be5f.png,3,2,0.7786943907997359,0.5988953520531434
images/104881ff-1dea-41f4-ac10-2564ee48be5f.png,7,2,1.0602784256121582,0.745168641643266
images/104881ff-1dea-41f4-ac10-2564ee48be5f.png,8,2,0.4919047697848473,0.8462257912200168
images/104881ff-1dea-41f4-ac10-2564ee48be5f.png,18,2,0.5820437860418958,0.6539725115473578
images/10993b08-8a64-4576-a408-f05c8de279c5.png,0,2,1.7215108139512854,0.841648649078994
images/110f930e-a589-47f6-a780-298e86523038.png,1,2,0.5446970520287209,0.8012345106273326
images/110f930e-a589-47f6-a780-298e86523038.png,3,2,2.2791489773898403,0.8444540129785262
images/110f930e-a589-47f6-a780-298e86523038.png,4,2,0.27811837190126554,0.7971127067859183
