epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1681.31,1.39709,0.81861,1.22295,0.8881,0.79446,0.88778,0.45276,1.82956,0.81788,1.25895,0.0005941,0.0005941,0.0005941
43,1720.73,1.38332,0.82216,1.23175,0.81313,0.69087,0.79338,0.43912,1.78802,1.24729,1.26265,0.0005842,0.0005842,0.0005842
44,1760.68,1.37264,0.84713,1.21757,0.86913,0.81158,0.89197,0.45293,1.84477,0.78054,1.27888,0.0005743,0.0005743,0.0005743
45,1801.07,1.38724,0.79816,1.24209,0.8766,0.74975,0.85431,0.50503,1.60967,0.86294,1.1837,0.0005644,0.0005644,0.0005644
46,1840.34,1.33525,0.76424,1.19435,0.8168,0.76938,0.83631,0.49338,1.63816,0.96416,1.18615,0.0005545,0.0005545,0.0005545
47,1879.83,1.37428,0.82615,1.20735,0.8376,0.68106,0.80135,0.49543,1.53647,1.09374,1.16952,0.0005446,0.0005446,0.0005446
48,1919.24,1.38493,0.83854,1.22485,0.82892,0.81354,0.8845,0.56987,1.42984,0.71255,1.12895,0.0005347,0.0005347,0.0005347
49,1959.13,1.37541,0.80618,1.21368,0.87384,0.78847,0.88163,0.55476,1.4866,0.79729,1.16168,0.0005248,0.0005248,0.0005248
50,1998.54,1.37318,0.78845,1.19975,0.84633,0.81072,0.88582,0.55366,1.49223,0.72611,1.11889,0.0005149,0.0005149,0.0005149
51,2038,1.37093,0.77885,1.22078,0.87196,0.80197,0.89218,0.56393,1.43208,0.72914,1.13232,0.000505,0.000505,0.000505
52,2077.44,1.35638,0.75877,1.20657,0.85391,0.82728,0.88944,0.52634,1.57701,0.75619,1.1568,0.0004951,0.0004951,0.0004951
53,2116.84,1.34331,0.7735,1.19726,0.86853,0.81689,0.89749,0.56211,1.45378,0.71976,1.11896,0.0004852,0.0004852,0.0004852
54,2156.27,1.33473,0.7807,1.20328,0.81706,0.78018,0.84659,0.54858,1.45726,0.87,1.122,0.0004753,0.0004753,0.0004753
55,2195.86,1.32851,0.76465,1.19045,0.87479,0.80177,0.89051,0.55112,1.49367,0.74971,1.14345,0.0004654,0.0004654,0.0004654
56,2235.39,1.3239,0.75887,1.20237,0.85611,0.82532,0.89664,0.56485,1.40692,0.6831,1.10165,0.0004555,0.0004555,0.0004555
57,2275.02,1.31915,0.77186,1.20169,0.86758,0.82728,0.89889,0.57411,1.41578,0.69331,1.09978,0.0004456,0.0004456,0.0004456
58,2316.08,1.30143,0.73434,1.19757,0.88729,0.78029,0.8919,0.57058,1.43349,0.73485,1.10833,0.0004357,0.0004357,0.0004357
59,2355.59,1.30368,0.73165,1.17189,0.87569,0.83415,0.91028,0.60458,1.33736,0.67051,1.07584,0.0004258,0.0004258,0.0004258
60,2395.63,1.2924,0.7505,1.1794,0.87834,0.82187,0.91034,0.5976,1.36148,0.65264,1.08429,0.0004159,0.0004159,0.0004159
61,2435.27,1.26781,0.72918,1.16552,0.84207,0.82671,0.89006,0.55704,1.47829,0.74396,1.11205,0.000406,0.000406,0.000406
62,2475.13,1.27836,0.74325,1.18631,0.85234,0.81573,0.89697,0.60485,1.30775,0.69197,1.08297,0.0003961,0.0003961,0.0003961
63,2515.52,1.28308,0.74355,1.17125,0.87704,0.82924,0.90511,0.60787,1.32334,0.66132,1.08059,0.0003862,0.0003862,0.0003862
64,2555.45,1.28562,0.7149,1.16738,0.83984,0.83611,0.89816,0.58696,1.39015,0.6957,1.09798,0.0003763,0.0003763,0.0003763
65,2594.83,1.27631,0.76196,1.17132,0.85041,0.84244,0.9052,0.59769,1.33963,0.65015,1.08004,0.0003664,0.0003664,0.0003664
66,2634.38,1.25012,0.73876,1.15652,0.86976,0.81923,0.90054,0.59307,1.3459,0.6579,1.08965,0.0003565,0.0003565,0.0003565
67,2673.96,1.25048,0.68769,1.15981,0.87014,0.8417,0.90862,0.6045,1.32421,0.62957,1.08844,0.0003466,0.0003466,0.0003466
68,2713.46,1.24925,0.67537,1.15411,0.84493,0.80471,0.89154,0.58411,1.37518,0.72827,1.08466,0.0003367,0.0003367,0.0003367
69,2752.95,1.2364,0.6817,1.1475,0.86655,0.83479,0.89283,0.6147,1.30238,0.65448,1.06605,0.0003268,0.0003268,0.0003268
70,2793.29,1.24099,0.70243,1.16742,0.85958,0.84104,0.91207,0.60615,1.36319,0.65769,1.08146,0.0003169,0.0003169,0.0003169
71,2833.43,1.22602,0.67929,1.1606,0.84444,0.82336,0.88775,0.61273,1.28513,0.6847,1.06658,0.000307,0.000307,0.000307
72,2872.73,1.24942,0.68599,1.15993,0.84099,0.85378,0.91098,0.59623,1.38285,0.63971,1.09236,0.0002971,0.0002971,0.0002971
73,2912.08,1.27296,0.68165,1.16459,0.86001,0.8528,0.90395,0.6062,1.35077,0.64694,1.07476,0.0002872,0.0002872,0.0002872
74,2951.48,1.24037,0.68014,1.15035,0.87909,0.8277,0.90974,0.61314,1.33915,0.64566,1.07055,0.0002773,0.0002773,0.0002773
75,2990.79,1.21567,0.6415,1.14826,0.87085,0.84036,0.90813,0.61527,1.29169,0.62057,1.068,0.0002674,0.0002674,0.0002674
76,3030.95,1.21094,0.67599,1.14051,0.88581,0.84985,0.91698,0.61012,1.35451,0.61533,1.0767,0.0002575,0.0002575,0.0002575
77,3070.37,1.23646,0.68817,1.15099,0.86525,0.83182,0.89514,0.60527,1.33405,0.67264,1.07528,0.0002476,0.0002476,0.0002476
78,3109.66,1.21441,0.64351,1.15022,0.85445,0.83532,0.89958,0.61105,1.30744,0.65273,1.06074,0.0002377,0.0002377,0.0002377
79,3149.07,1.21446,0.63908,1.12892,0.8816,0.82569,0.90711,0.61354,1.3113,0.62167,1.06433,0.0002278,0.0002278,0.0002278
80,3188.87,1.21276,0.66449,1.14347,0.84929,0.85163,0.90769,0.60704,1.33847,0.62701,1.06943,0.0002179,0.0002179,0.0002179
81,3228.53,1.19227,0.63321,1.13669,0.88462,0.82008,0.90746,0.627,1.26622,0.62442,1.05197,0.000208,0.000208,0.000208
82,3268.61,1.19291,0.6495,1.14207,0.87934,0.82961,0.90539,0.61949,1.29957,0.6149,1.05302,0.0001981,0.0001981,0.0001981
83,3307.91,1.2008,0.64006,1.13188,0.86184,0.84482,0.91329,0.62565,1.27118,0.62478,1.05628,0.0001882,0.0001882,0.0001882
84,3347.6,1.19485,0.62828,1.13941,0.8547,0.86012,0.90912,0.63002,1.25072,0.60528,1.05401,0.0001783,0.0001783,0.0001783
85,3388.19,1.20011,0.64203,1.13377,0.87059,0.84298,0.90853,0.61094,1.33208,0.63913,1.06572,0.0001684,0.0001684,0.0001684
86,3427.59,1.18865,0.63044,1.11784,0.87918,0.84298,0.91138,0.61945,1.30561,0.61015,1.0605,0.0001585,0.0001585,0.0001585
87,3467,1.18271,0.6291,1.13645,0.86833,0.83513,0.90569,0.60024,1.37833,0.6654,1.08463,0.0001486,0.0001486,0.0001486
88,3506.37,1.20509,0.63584,1.1363,0.87346,0.84495,0.91354,0.61914,1.32388,0.61882,1.0703,0.0001387,0.0001387,0.0001387
89,3545.69,1.17764,0.62921,1.11639,0.88206,0.83671,0.91496,0.63033,1.26981,0.59737,1.05462,0.0001288,0.0001288,0.0001288
90,3585.65,1.20319,0.61972,1.1348,0.8778,0.83184,0.91509,0.62882,1.28876,0.60793,1.05443,0.0001189,0.0001189,0.0001189
91,3626.69,1.1698,0.6211,1.10904,0.87828,0.83906,0.91044,0.61898,1.33056,0.62649,1.06276,0.000109,0.000109,0.000109
92,3666.21,1.18545,0.60527,1.12208,0.88294,0.8371,0.9198,0.63485,1.26014,0.58591,1.04823,9.91e-05,9.91e-05,9.91e-05
93,3706.08,1.16135,0.61133,1.10872,0.88821,0.84211,0.92148,0.63562,1.26527,0.58427,1.04729,8.92e-05,8.92e-05,8.92e-05
94,3745.97,1.17994,0.61689,1.12283,0.87261,0.8577,0.92041,0.62963,1.29656,0.58452,1.05147,7.93e-05,7.93e-05,7.93e-05
95,3785.36,1.15785,0.6115,1.12281,0.87587,0.8528,0.9139,0.62631,1.30713,0.60607,1.05965,6.94e-05,6.94e-05,6.94e-05
96,3824.72,1.19164,0.63792,1.13219,0.86086,0.86555,0.92177,0.64403,1.23905,0.57237,1.04575,5.95e-05,5.95e-05,5.95e-05
97,3864.75,1.18073,0.59873,1.11561,0.86225,0.86261,0.92041,0.63854,1.26554,0.58179,1.04625,4.96e-05,4.96e-05,4.96e-05
98,3904.21,1.16358,0.61825,1.11681,0.86735,0.84703,0.91245,0.62507,1.30537,0.61028,1.052,3.97e-05,3.97e-05,3.97e-05
99,3943.55,1.16598,0.62595,1.12212,0.87119,0.85476,0.9162,0.62867,1.29327,0.59148,1.04907,2.98e-05,2.98e-05,2.98e-05
100,3983.54,1.16052,0.6152,1.1213,0.87001,0.85182,0.91718,0.63025,1.29287,0.58764,1.0487,1.99e-05,1.99e-05,1.99e-05
